# format_version: 1
# kind	id	iri	label	aliases	parents	ontology	role	component_family	sequence_family	table1	table2
term	CHEBI:132608	https://identifiers.org/CHEBI:132608	TRPM4 channel inhibitor	http://purl.obolibrary.org/obo/CHEBI_132608	CHEBI:35222	CHEBI	feature_role	-	-	false	false
term	CHEBI:132710	https://identifiers.org/CHEBI:132710	xenoantigen	http://purl.obolibrary.org/obo/CHEBI_132710	CHEBI:59132	CHEBI	feature_role	-	-	false	false
term	CHEBI:132717	https://identifiers.org/CHEBI:132717	bleaching agent	http://purl.obolibrary.org/obo/CHEBI_132717	CHEBI:33893	CHEBI	feature_role	-	-	false	false
term	CHEBI:132771	https://identifiers.org/CHEBI:132771	EC 3.6.5.* (hydrolases acting on GTP; involved in cellular and subcellular movement) inhibitor	http://purl.obolibrary.org/obo/CHEBI_132771	CHEBI:73216	CHEBI	feature_role	-	-	false	false
term	CHEBI:132772	https://identifiers.org/CHEBI:132772	EC 3.6.5.5 (dynamin GTPase) inhibitor	http://purl.obolibrary.org/obo/CHEBI_132772	CHEBI:132771	CHEBI	feature_role	-	-	false	false
term	CHEBI:132972	https://identifiers.org/CHEBI:132972	farnesoid X receptor agonist	http://purl.obolibrary.org/obo/CHEBI_132972	CHEBI:48705	CHEBI	feature_role	-	-	false	false
term	CHEBI:132992	https://identifiers.org/CHEBI:132992	radiosensitizing agent	http://purl.obolibrary.org/obo/CHEBI_132992	CHEBI:23888	CHEBI	feature_role	-	-	false	false
term	CHEBI:133016	https://identifiers.org/CHEBI:133016	5-hydroxytryptamine 2A receptor inverse agonist	http://purl.obolibrary.org/obo/CHEBI_133016	CHEBI:90847	CHEBI	feature_role	-	-	false	false
term	CHEBI:133022	https://identifiers.org/CHEBI:133022	B-cell lymphoma 2 inhibitor	http://purl.obolibrary.org/obo/CHEBI_133022	CHEBI:35222|CHEBI:52206	CHEBI	feature_role	-	-	false	false
term	CHEBI:133024	https://identifiers.org/CHEBI:133024	lymphocyte function-associated antigen-1 antagonist	http://purl.obolibrary.org/obo/CHEBI_133024	CHEBI:48706	CHEBI	feature_role	-	-	false	false
term	CHEBI:133106	https://identifiers.org/CHEBI:133106	chemical hybridisation agent	http://purl.obolibrary.org/obo/CHEBI_133106	CHEBI:26155	CHEBI	feature_role	-	-	false	false
term	CHEBI:133190	https://identifiers.org/CHEBI:133190	fatty acid oxidation inhibitor	http://purl.obolibrary.org/obo/CHEBI_133190	CHEBI:35222|CHEBI:52206	CHEBI	feature_role	-	-	false	false
term	CHEBI:133811	https://identifiers.org/CHEBI:133811	EC 2.4.1.17 (glucuronosyltransferase) inhibitor	http://purl.obolibrary.org/obo/CHEBI_133811	CHEBI:76789	CHEBI	feature_role	-	-	false	false
term	CHEBI:133878	https://identifiers.org/CHEBI:133878	neuropeptide Y receptor antagonist	http://purl.obolibrary.org/obo/CHEBI_133878	CHEBI:48706	CHEBI	feature_role	-	-	false	false
term	CHEBI:133891	https://identifiers.org/CHEBI:133891	salt-inducible kinase 2 inhibitor	http://purl.obolibrary.org/obo/CHEBI_133891	CHEBI:37699	CHEBI	feature_role	-	-	false	false
